stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
AMBMYRA:3,4624,Amber & Myra Ridge (SW Corner),,40.087372,-88.185483,,https://mtd.org/maps-and-schedules/bus-stops/info/ambmyra-3/,0,,,1,
AMBMYRA:4,4624,Amber & Myra Ridge (NW Corner),,40.08744,-88.185468,,https://mtd.org/maps-and-schedules/bus-stops/info/ambmyra-4/,0,,,1,
AMBPHILO:1,1511,Amber & Philo (NE Corner),,40.0874137878418,-88.190430555556,,https://mtd.org/maps-and-schedules/bus-stops/info/ambphilo-1/,0,,,1,
AMBPHILO:2,1511,Amber & Philo (SE Corner),,40.08701324462892,-88.1905517578125,,https://mtd.org/maps-and-schedules/bus-stops/info/ambphilo-2/,0,,,1,
AMBUC:1,4322,Ambucs Park (South Side),,40.11572167,-88.19245333,,https://mtd.org/maps-and-schedules/bus-stops/info/ambuc-1/,0,,,1,
AMBUC:2,4322,Ambucs Park (North Side),,40.115905,-88.192215,,https://mtd.org/maps-and-schedules/bus-stops/info/ambuc-2/,0,,,1,
ANTAMRN:2,8437,Anthony at Ameren (North Side),,40.13656333,-88.224243329999979,,https://mtd.org/maps-and-schedules/bus-stops/info/antamrn-2/,0,,,1,
ANTCMBL:1,5255,Anthony & Campbell (NE Corner),,40.137943,-88.269792,,https://mtd.org/maps-and-schedules/bus-stops/info/antcmbl-1/,0,,,1,
ANTCMBL:4,5255,Anthony & Campbell (NW Corner),,40.13806667,-88.26991667,,https://mtd.org/maps-and-schedules/bus-stops/info/antcmbl-4/,0,,,1,
ANTCMBL:5,5255,Anthony & Campbell (NE Far Side),,40.13824667,-88.26967999999998,,https://mtd.org/maps-and-schedules/bus-stops/info/antcmbl-5/,0,,,1,
ANTDOBB:2,4730,Anthony & Dobbins (SE Corner),,40.141552,-88.276736,,https://mtd.org/maps-and-schedules/bus-stops/info/antdobb-2/,0,,,1,
ANTGOODWILL:1,7542,Anthony Dr. at Goodwill (NE Corner),,40.137117000000011,-88.259206,,https://mtd.org/maps-and-schedules/bus-stops/info/antgoodwill-1/,0,,,1,
ANTGOODWILL:2,7542,Anthony Dr. at Goodwill (SE),,40.137096,-88.25906999999998,,https://mtd.org/maps-and-schedules/bus-stops/info/antgoodwill-2/,0,,,1,
ANTHYDUSK:2,8695,Anthony & Dusk (SE Corner),,40.134301,-88.193149,,https://mtd.org/maps-and-schedules/bus-stops/info/anthydusk-2/,0,,,1,
ANTHYRK:2,0344,Anthony at Rural King (North Side),,40.136215,-88.26343,,https://mtd.org/maps-and-schedules/bus-stops/info/anthyrk-2/,0,,,1,
ANTHYRK:3,0344,Anthony at Rural King (South Side),,40.13619167,-88.263765,,https://mtd.org/maps-and-schedules/bus-stops/info/anthyrk-3/,0,,,1,
ANTHYWSS:2,4792,Anthony at Woodspring Suites (North),,40.13692300000001,-88.266502,,https://mtd.org/maps-and-schedules/bus-stops/info/anthywss-2/,0,,,1,
ANTMATS:1,5742,Anthony & Mattis (NE Corner),,40.14332333,-88.277135,,https://mtd.org/maps-and-schedules/bus-stops/info/antmats-1/,0,,,1,
ANTMATS:2,5742,Anthony & Mattis (SE Corner),,40.14308667,-88.27727,,https://mtd.org/maps-and-schedules/bus-stops/info/antmats-2/,0,,,1,
ANTNSHR:1,8026,Anthony & North Shore (NE Corner),,40.13659167,-88.22188667,,https://mtd.org/maps-and-schedules/bus-stops/info/antnshr-1/,0,,,1,
ANTNWH:1,3769,Anthony at National Warehouse (NE),,40.135691,-88.226865,,https://mtd.org/maps-and-schedules/bus-stops/info/antnwh-1/,0,,,1,
ANTWTRS:4,1256,Anthony & Walters (NW Corner),,40.1392888889,-88.273236111111,,https://mtd.org/maps-and-schedules/bus-stops/info/antwtrs-4/,0,,,1,
ANTWTRS:5,1256,Anthony & Walters (NE Far Side),,40.13944167,-88.27305333,,https://mtd.org/maps-and-schedules/bus-stops/info/antwtrs-5/,0,,,1,
APTHICRS:2,2364,Airport & High Cross (SE Corner),,40.14212333,-88.162845,,https://mtd.org/maps-and-schedules/bus-stops/info/apthicrs-2/,0,,,1,
